maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
748,13,2,5,5,12500,1,75,1,1968,4,7,2,4,0,29480,1,-2
685,8,2,5,5,3387,1,110,0,1500,21,7,1,4,0,30890,1,-2
589,8,5,5,5,52626,1,116,0,1332,21,7,1,1,1,25750,3,0
487,8,5,5,5,37816,1,118,0,1332,10,7,1,1,2,43585,2,0
746,3,5,4,2,60000,1,130,0,1984,11,5,7,1,1,24899,5,-1
321,8,4,5,5,15,1,118,0,1482,20,7,7,1,3,27990,0,-1
54,8,5,5,4,100000,1,260,0,2995,16,5,1,1,1,43530,5,0
63,18,5,5,5,95141,0,80,1,1499,16,5,12,1,0,14950,7,0
604,8,5,5,5,75600,1,81,0,1199,25,5,7,1,3,16490,5,0
768,13,2,5,5,9025,1,110,1,1498,16,5,7,1,0,34980,1,0
553,9,5,2,4,308000,0,95,1,2148,3,4,12,1,0,6899,14,0
345,2,3,2,2,44225,1,6,0,480,3,4,12,1,3,16479,1,0
160,2,5,5,5,16447,0,81,1,1199,26,8,9,1,0,14950,3,0
83,12,5,5,4,54800,1,185,0,1998,16,5,7,1,1,30880,4,0
794,8,1,5,5,12000,1,110,0,1498,20,7,1,1,0,28980,1,0
293,8,2,5,5,1,1,294,0,1968,10,5,1,1,3,78890,1,-2
401,9,5,6,5,156325,0,120,0,2143,4,5,6,1,0,47481,4,0
125,8,5,5,5,79987,1,190,0,2993,4,5,1,1,1,48770,5,0
600,18,4,3,4,10,1,75,1,1499,4,7,7,1,0,24998,1,0
768,13,5,5,4,126478,1,110,0,1498,25,5,1,1,0,16899,4,-1
614,18,4,2,2,10,1,103,1,2179,4,7,7,1,0,37048,1,0
611,8,5,5,5,14409,1,81,1,1499,4,7,7,1,0,22380,2,-1
27,12,5,5,4,103000,1,140,0,1968,3,5,1,1,3,25990,6,0
770,2,5,5,5,99700,1,70,1,999,20,5,12,1,0,13880,5,0
685,8,5,5,5,52941,1,140,0,1984,21,5,12,1,1,26950,5,0
775,8,5,5,5,10,1,110,0,1498,20,7,1,1,0,29980,0,0
117,8,5,5,5,54000,1,141,0,1998,21,5,1,0,1,37320,3,0
273,12,5,5,4,12840,1,206,0,1998,16,7,2,1,0,34490,1,-2
70,18,5,5,4,80000,1,85,1,1496,3,5,7,1,0,15999,6,-1
684,8,1,5,5,12883,1,70,1,999,21,5,2,4,0,20690,1,0
536,4,5,4,2,73800,1,450,0,3982,16,5,1,1,1,169990,5,0
33,8,5,5,4,67000,1,221,0,1984,16,5,9,1,3,24880,7,0
589,8,4,5,5,15,1,116,1,1332,25,7,2,1,3,35490,0,-3
492,8,5,5,4,45000,1,140,0,1950,3,7,12,1,5,42990,2,0
604,8,5,5,5,16656,1,81,1,1199,17,7,7,1,0,18180,1,0
798,18,5,5,5,69000,1,110,0,1968,3,8,7,1,0,24777,4,-1
419,9,5,5,5,109000,1,85,0,1461,4,8,1,1,2,24990,4,0
