maker_model,body_type,type,seat,door,mileage,non_smoker_vehicle,power,gearbox,engine_size,fuel_type,emission_classe,colour,upholstery_colour,upholstery,price (€),car_age,inspection_interval
30,12,5,5,4,56000,0,210,0,2967,4,7,6,3,1,74960,2,0
798,18,5,5,5,118630,0,140,0,1968,3,5,7,1,0,22970,5,0
736,18,5,3,4,60000,1,90,0,1968,3,5,11,1,3,27999,3,-1
97,13,5,5,4,78918,1,250,0,2998,11,5,1,0,1,38499,5,0
430,13,5,5,5,39700,0,235,0,1991,10,7,10,1,3,38560,3,0
160,2,5,3,4,90330,1,54,0,1360,16,5,7,1,0,6950,18,0
684,8,2,5,5,25,1,81,0,999,26,7,12,1,2,26990,1,-2
243,4,5,4,2,21998,1,343,0,5038,11,5,1,1,1,39922,3,0
414,12,5,5,4,11506,1,225,0,1991,17,5,12,1,1,47480,2,0
642,4,5,4,2,53076,1,294,0,3800,16,4,4,0,1,94880,11,-1
775,8,5,5,5,11,1,110,0,1498,20,7,1,1,0,29440,0,0
401,14,5,8,4,78341,1,100,0,2143,4,5,2,1,2,33880,5,0
674,18,5,3,2,21440,0,88,1,1996,3,8,12,1,0,24990,2,-1
702,13,5,5,5,11000,0,160,0,1395,10,5,12,1,0,28970,3,0
462,12,5,5,4,98000,1,180,0,1950,3,8,12,1,3,38990,3,0
796,8,5,5,5,6000,0,147,0,1968,4,7,7,1,5,43670,3,0
752,12,5,5,5,40150,0,180,0,1984,20,7,12,1,0,29788,3,0
480,8,1,5,5,9950,1,243,0,2925,4,7,1,3,1,174489,1,-2
816,8,5,7,5,79987,1,173,0,1969,4,5,7,1,1,51880,4,0
794,8,5,5,5,8025,1,70,1,999,20,7,7,1,0,20774,1,0
26,12,5,5,5,98505,1,140,0,1984,16,5,12,1,0,26980,4,-1
236,12,5,5,4,159000,0,92,1,998,16,4,1,1,0,6499,10,-1
768,13,5,5,4,126478,1,110,0,1498,25,5,1,1,0,16899,4,-1
87,4,5,5,5,51870,1,140,1,1995,4,5,12,1,5,28700,4,0
651,8,5,5,4,79583,1,324,0,3604,16,5,12,1,1,64880,6,0
708,2,5,5,4,41335,1,51,1,998,16,5,2,1,0,5750,14,0
608,13,5,5,5,52479,1,128,0,1995,4,7,1,1,0,24480,2,0
247,18,5,5,5,129000,1,110,0,1997,4,8,7,1,0,19985,4,-1
651,8,5,5,4,73000,1,193,0,2967,3,5,10,1,3,41500,8,-1
698,13,5,5,4,124000,1,135,0,1968,3,4,7,1,1,17499,8,0
497,8,5,5,4,37000,1,190,0,1991,11,7,1,1,5,48990,2,0
460,4,5,4,2,71147,1,155,0,1991,16,5,2,1,1,28880,6,0
745,13,5,5,5,12500,1,235,0,1984,29,7,1,1,1,50400,2,0
188,2,3,5,4,0,0,67,0,999,16,7,7,1,0,21490,1,0
598,12,5,5,5,29900,1,107,1,1199,12,7,10,1,3,17980,2,0
752,13,5,5,5,175464,1,85,1,1598,4,8,12,1,0,12950,4,0
758,13,3,5,5,10,0,96,0,1498,20,7,12,1,0,33490,1,0
